scope,pipeline,L,step,mean_nldd,nldd_se,mean_tas_t,tas_t_se,n_clean,bin_status
easy,v6,11,9,-14.727793238587914,13.34720948026359,0.2877209992579397,0.004962778544570714,110,ok
easy,v6,11,10,102.04175489073594,26.759448204458543,0.2640255347768638,0.004593260087483501,110,ok
easy,v6,11,11,646.122071795345,173.3063590859035,0.24700535791902492,0.004217770532778844,110,ok
easy,v6,12,1,,,1.0,0.0,47,ok
easy,v6,12,2,15.21571232475934,17.2095018055952,0.6624404110263705,0.015221862877422918,47,ok
easy,v6,12,3,-39.13324442841938,30.44875603114817,0.5333151735241549,0.012561627480150392,47,ok
easy,v6,12,4,10.142098392045916,17.57641189556166,0.4734134806046778,0.010150342853367446,47,ok
easy,v6,12,5,17.45412739436621,24.62517383173192,0.421766032038425,0.009451153875994584,47,ok
easy,v6,12,6,15.267158596112063,14.392465918195796,0.37966195298908967,0.00758951453787836,47,ok
easy,v6,12,7,15.280830369693843,26.446631915800474,0.3443484181656821,0.007470506065634891,47,ok
easy,v6,12,8,-6.911476544647607,13.036281188852714,0.31779815677993095,0.006688287171054806,47,ok
easy,v6,12,9,19.573696680664938,18.879709678080292,0.2900733305449681,0.006191209809221702,47,ok
easy,v6,12,10,-58.65718943596957,38.58313306375825,0.26743314515043554,0.005901321361793829,47,ok
easy,v6,12,11,161.30932013733695,151.53464044506157,0.24365412435793127,0.005370953989834246,47,ok
easy,v6,12,12,855.9358321313658,423.53784081015834,0.23079135943531123,0.004920836810565077,47,ok
medium,v6,3,1,,,1.0,0.0,120,ok
medium,v6,3,2,10.51428903651613,11.794254065622063,0.7025173586641444,0.006767735556313388,120,ok
medium,v6,3,3,368.4917351773978,120.47492908262541,0.5915329933127578,0.005023598771983383,120,ok
medium,v6,4,1,,,1.0,0.0,120,ok
medium,v6,4,2,24.971727990687008,26.340213465833404,0.6981816046691038,0.007740874418733989,120,ok
medium,v6,4,3,-3.3007684174665086,8.819032086129813,0.5681363151646943,0.006362233530725059,120,ok
medium,v6,4,4,478.0449142964271,240.31241485479788,0.5107995218899658,0.005663502141098897,120,ok
medium,v6,5,1,,,1.0,0.0,120,ok
medium,v6,5,2,5.885511873859262,13.184423539805069,0.6906136954559285,0.007651175622080258,120,ok
medium,v6,5,3,-8.82545661120355,5.230927055102342,0.5574383002278174,0.006675120596690681,120,ok
medium,v6,5,4,-21.721009597773634,13.738246134500448,0.4878504603961011,0.005917138966659456,120,ok
medium,v6,5,5,307.8360730995872,72.5506688582584,0.44657887953573216,0.005694028570609906,120,ok
medium,v6,6,1,,,1.0,0.0,120,ok
medium,v6,6,2,-2.225968831063745,5.224423714689759,0.6743442065790805,0.0076049377305069665,120,ok
medium,v6,6,3,-5.06703454860515,6.300954630717282,0.5447504701138273,0.006340314220287332,120,ok
medium,v6,6,4,-8.876022812235329,4.183073752319102,0.4773805627294523,0.006230418958258877,120,ok
medium,v6,6,5,-2.964643291131746,13.012728184724573,0.4290202115056519,0.006274599447137671,120,ok
medium,v6,6,6,441.92111147264586,91.26053519610949,0.3986279848451668,0.00538483251503613,120,ok
medium,v6,7,1,,,1.0,0.0,120,ok
medium,v6,7,2,-0.18733831331486703,13.288489658852676,0.6870725157553891,0.007615488471241979,120,ok
medium,v6,7,3,-3.815575013964113,15.800519069024851,0.547993718074021,0.007174574707874506,120,ok
medium,v6,7,4,-14.838165323671742,22.847726377540823,0.46893420164516414,0.0062092668948246325,120,ok
medium,v6,7,5,-11.105105920796928,18.784642136966184,0.41667160608975734,0.00611823631492235,120,ok
medium,v6,7,6,71.70940220310824,40.68195125918863,0.38101590055486056,0.005607384294994014,120,ok
medium,v6,7,7,746.8155936709022,253.50927579485864,0.3576366979896243,0.005340159057137126,120,ok
